customer_id,customer_name,region,segment,created_at
C001,Northwind Traders,US-EAST,SMB,2023-11-15
C002,Globex Corp,US-WEST,ENTERPRISE,2023-11-15
C003,Initech LLC,EU-CENTRAL,SMB,2023-11-15
C004,Umbrella Retail,US-EAST,ENTERPRISE,2023-11-15
C005,Stark Supply Co,US-WEST,SMB,2023-11-15
C006,Wayne Logistics,EU-CENTRAL,ENTERPRISE,2023-11-15
C007,Acme Industrial,US-EAST,SMB,2023-11-15
C008,Soylent Foods,US-WEST,ENTERPRISE,2023-11-15
C009,Hooli Systems,EU-CENTRAL,SMB,2023-11-15
C010,Massive Dynamic,US-EAST,ENTERPRISE,2023-11-15
C011,Wonka Distribution,US-WEST,SMB,2023-11-15
C012,Cyberdyne Parts,EU-CENTRAL,ENTERPRISE,2023-11-15
C013,Oscorp Materials,US-EAST,SMB,2023-11-15
C014,Gringotts Trading,US-WEST,ENTERPRISE,2023-11-15
C015,Pied Piper Goods,EU-CENTRAL,SMB,2023-11-15
C016,Vandelay Imports,US-EAST,ENTERPRISE,2023-11-15
C017,Prestige Worldwide,US-WEST,SMB,2023-11-15
C018,Dunder Mifflin Paper,EU-CENTRAL,ENTERPRISE,2023-11-15
C019,Bluth Company,US-EAST,SMB,2023-11-15
C020,Sterling Cooper,US-WEST,ENTERPRISE,2023-11-15
